8
8
100
['dA_v2', 'dB_v3', 'dB_v4', 'dB_v2', 'dB_v1', 'dA_v1', 'dC_v1']
['dD_v2', 'dC_v2', 'dC_v4', 'dC_v3', 'dA_v2', 'dA_v1', 'dC_v1']
['dC_v3', 'dA_v2', 'dA_v1', 'dB_v1', 'dB_v2', 'dB_v4', 'dD_v1', 'dD_v2', 'dC_v2', 'dC_v1']
['dA_v1', 'dA_v2', 'dB_v3', 'dB_v4', 'dB_v2', 'dD_v1', 'dD_v2', 'dC_v2', 'dC_v4', 'dC_v3', 'dC_v1']
1 ['0.0021', '0.0003', '0.0008', '0.0003']
2 ['0.0002', '0.0000', '0.0001', '0.0000']
3 ['0.0001', '0.0000', '0.0001', '0.0000']
4 ['0.0002', '0.0000', '0.0001', '0.0000']
5 ['0.0001', '0.0000', '0.0001', '0.0000']
6 ['0.0001', '0.0000', '0.0001', '0.0000']
7 ['0.0001', '0.0000', '0.0001', '0.0000']
8 ['0.9980', '0.9981', '0.0002', '0.0020']
9 ['0.9976', '0.0033', '0.0011', '0.9969']
10 ['0.0004', '0.0001', '0.0001', '0.0001']
11 ['0.0002', '0.0000', '0.0000', '0.0000']
12 ['0.0001', '0.0000', '0.0000', '0.0000']
13 ['0.9977', '0.0026', '0.0009', '0.9970']
14 ['0.0058', '0.9948', '0.9980', '0.9963']
15 ['0.0003', '0.0002', '0.0001', '0.0001']
16 ['0.0001', '0.0000', '0.0001', '0.0000']
17 ['0.0001', '0.0000', '0.0001', '0.0000']
18 ['0.0001', '0.0000', '0.0001', '0.0000']
19 ['0.0001', '0.0000', '0.0001', '0.0000']
20 ['0.0001', '0.0000', '0.0001', '0.0000']
21 ['0.0001', '0.0000', '0.0001', '0.0000']
22 ['0.0001', '0.0001', '0.0006', '0.0000']
23 ['0.0001', '0.0000', '0.0001', '0.0000']
24 ['0.0001', '0.0000', '0.0001', '0.0000']
25 ['0.0001', '0.0000', '0.0001', '0.0000']
26 ['0.0001', '0.0000', '0.0001', '0.0000']
27 ['0.0001', '0.0000', '0.0001', '0.0000']
28 ['0.0001', '0.0000', '0.0002', '0.0000']
29 ['0.0001', '0.0000', '0.0001', '0.0000']
30 ['0.0000', '0.0006', '0.9971', '0.0018']
31 ['0.0001', '0.0000', '0.0002', '0.0000']
32 ['0.0001', '0.0000', '0.0001', '0.0000']
33 ['0.0001', '0.0000', '0.0001', '0.0000']
34 ['0.9982', '0.9983', '0.0003', '0.0024']
35 ['0.0003', '0.0001', '0.0002', '0.0001']
36 ['0.9985', '0.9985', '0.0003', '0.0031']
37 ['0.0004', '0.0001', '0.0001', '0.0000']
38 ['0.0002', '0.0000', '0.0002', '0.0000']
39 ['0.0001', '0.0000', '0.0001', '0.0000']
40 ['0.0000', '0.0011', '0.9986', '0.0029']
41 ['0.9965', '0.0032', '0.0019', '0.9975']
42 ['0.0003', '0.0001', '0.0001', '0.0002']
43 ['0.0001', '0.0000', '0.0000', '0.0000']
44 ['0.0001', '0.0000', '0.0001', '0.0000']
45 ['0.0043', '0.9950', '0.9988', '0.9947']
46 ['0.0002', '0.0002', '0.0002', '0.0001']
47 ['0.0001', '0.0000', '0.0001', '0.0000']
48 ['0.0001', '0.0000', '0.0002', '0.0000']
49 ['0.0001', '0.0000', '0.0001', '0.0000']
50 ['0.0001', '0.0001', '0.0005', '0.0000']
51 ['0.0000', '0.0015', '0.9969', '0.0014']
52 ['0.0001', '0.0000', '0.0002', '0.0000']
53 ['0.0001', '0.0000', '0.0002', '0.0000']
54 ['0.0001', '0.0000', '0.0001', '0.0000']
55 ['0.0001', '0.0000', '0.0001', '0.0000']
56 ['0.0039', '0.9949', '0.9988', '0.9943']
57 ['0.0002', '0.0003', '0.0003', '0.0001']
58 ['0.0001', '0.0000', '0.0001', '0.0000']
59 ['0.0001', '0.0001', '0.0001', '0.0000']
60 ['0.0001', '0.0000', '0.0000', '0.0000']
61 ['0.0001', '0.0000', '0.0001', '0.0000']
62 ['0.0001', '0.0000', '0.0001', '0.0000']
63 ['0.0001', '0.0000', '0.0001', '0.0000']
64 ['0.0000', '0.0008', '0.9981', '0.0023']
65 ['0.0001', '0.0000', '0.0003', '0.0000']
66 ['0.9980', '0.9983', '0.0004', '0.0032']
67 ['0.0004', '0.0001', '0.0001', '0.0001']
68 ['0.0000', '0.0014', '0.9981', '0.0030']
69 ['0.0001', '0.0000', '0.0002', '0.0000']
70 ['0.0002', '0.0001', '0.0001', '0.0000']
71 ['0.9973', '0.0022', '0.0011', '0.9973']
72 ['0.0002', '0.0001', '0.0003', '0.0002']
73 ['0.0002', '0.0000', '0.0000', '0.0000']
74 ['0.0001', '0.0000', '0.0002', '0.0000']
75 ['0.0000', '0.0012', '0.9983', '0.0026']
76 ['0.0002', '0.0000', '0.0002', '0.0000']
77 ['0.9980', '0.9983', '0.0004', '0.0031']
78 ['0.0004', '0.0001', '0.0001', '0.0000']
79 ['0.0002', '0.0001', '0.0001', '0.0000']
80 ['0.0001', '0.0000', '0.0001', '0.0000']
81 ['0.0001', '0.0000', '0.0001', '0.0000']
82 ['0.0043', '0.9956', '0.9988', '0.9949']
83 ['0.9959', '0.9974', '0.0009', '0.0059']
84 ['0.0004', '0.0001', '0.0001', '0.0001']
85 ['0.9980', '0.0026', '0.0010', '0.9969']
86 ['0.0003', '0.0002', '0.0003', '0.0002']
87 ['0.0001', '0.0000', '0.0001', '0.0000']
88 ['0.9981', '0.9982', '0.0003', '0.0027']
89 ['0.0004', '0.0001', '0.0001', '0.0001']
90 ['0.9981', '0.0026', '0.0011', '0.9972']
91 ['0.0003', '0.0001', '0.0001', '0.0002']
92 ['0.0002', '0.0000', '0.0000', '0.0000']
93 ['0.0001', '0.0000', '0.0001', '0.0000']
94 ['0.9984', '0.9981', '0.0002', '0.0024']
95 ['0.0004', '0.0001', '0.0001', '0.0000']
96 ['0.0002', '0.0000', '0.0001', '0.0000']
97 ['0.0000', '0.0007', '0.9975', '0.0026']
98 ['0.0046', '0.9950', '0.9990', '0.9964']
99 ['0.0002', '0.0003', '0.0003', '0.0001']
100 ['0.0001', '0.0000', '0.0001', '0.0000']
101 ['0.0001', '0.0000', '0.0001', '0.0000']
102 ['0.0001', '0.0000', '0.0001', '0.0000']
103 ['0.0001', '0.0000', '0.0002', '0.0000']
104 ['0.0002', '0.0000', '0.0001', '0.0000']
105 ['0.0001', '0.0000', '0.0001', '0.0000']
106 ['0.0001', '0.0000', '0.0001', '0.0000']
107 ['0.0001', '0.0000', '0.0001', '0.0000']
108 ['0.9982', '0.9983', '0.0003', '0.0022']
109 ['0.9976', '0.0034', '0.0011', '0.9970']
110 ['0.0003', '0.0001', '0.0002', '0.0001']
111 ['0.0001', '0.0000', '0.0001', '0.0000']
112 ['0.0001', '0.0000', '0.0001', '0.0000']
113 ['0.9978', '0.0027', '0.0009', '0.9971']
114 ['0.0059', '0.9949', '0.9980', '0.9963']
115 ['0.0003', '0.0002', '0.0001', '0.0001']
116 ['0.0001', '0.0000', '0.0001', '0.0000']
117 ['0.0001', '0.0000', '0.0001', '0.0000']
118 ['0.0001', '0.0000', '0.0001', '0.0000']
119 ['0.0001', '0.0000', '0.0001', '0.0000']
120 ['0.0001', '0.0000', '0.0001', '0.0000']
121 ['0.0001', '0.0000', '0.0001', '0.0000']
122 ['0.0001', '0.0001', '0.0008', '0.0000']
123 ['0.0001', '0.0000', '0.0001', '0.0000']
124 ['0.0001', '0.0000', '0.0001', '0.0000']
125 ['0.0001', '0.0000', '0.0001', '0.0000']
126 ['0.0001', '0.0000', '0.0001', '0.0000']
127 ['0.0001', '0.0000', '0.0001', '0.0000']
128 ['0.0001', '0.0000', '0.0002', '0.0000']
129 ['0.0001', '0.0000', '0.0001', '0.0000']
130 ['0.0000', '0.0007', '0.9974', '0.0019']
131 ['0.0001', '0.0000', '0.0002', '0.0000']
132 ['0.0001', '0.0000', '0.0001', '0.0000']
133 ['0.0001', '0.0000', '0.0001', '0.0000']
134 ['0.9982', '0.9984', '0.0003', '0.0025']
135 ['0.0003', '0.0001', '0.0002', '0.0001']
136 ['0.9985', '0.9985', '0.0004', '0.0032']
137 ['0.0004', '0.0001', '0.0001', '0.0000']
138 ['0.0002', '0.0000', '0.0002', '0.0000']
139 ['0.0001', '0.0000', '0.0001', '0.0000']
140 ['0.0000', '0.0011', '0.9987', '0.0029']
141 ['0.9965', '0.0032', '0.0020', '0.9975']
142 ['0.0003', '0.0001', '0.0001', '0.0002']
143 ['0.0001', '0.0000', '0.0000', '0.0000']
144 ['0.0001', '0.0000', '0.0001', '0.0000']
145 ['0.0044', '0.9951', '0.9988', '0.9948']
146 ['0.0002', '0.0002', '0.0002', '0.0001']
147 ['0.0001', '0.0000', '0.0001', '0.0000']
148 ['0.0001', '0.0001', '0.0002', '0.0000']
149 ['0.0001', '0.0000', '0.0001', '0.0000']
150 ['0.0001', '0.0001', '0.0005', '0.0000']
151 ['0.0000', '0.0015', '0.9970', '0.0015']
152 ['0.0001', '0.0000', '0.0002', '0.0000']
153 ['0.0001', '0.0000', '0.0002', '0.0000']
154 ['0.0001', '0.0000', '0.0001', '0.0000']
155 ['0.0001', '0.0000', '0.0001', '0.0000']
156 ['0.0039', '0.9950', '0.9988', '0.9943']
157 ['0.0002', '0.0003', '0.0003', '0.0001']
158 ['0.0001', '0.0000', '0.0001', '0.0000']
159 ['0.0001', '0.0001', '0.0001', '0.0000']
160 ['0.0001', '0.0000', '0.0000', '0.0000']
161 ['0.0001', '0.0000', '0.0001', '0.0000']
162 ['0.0001', '0.0000', '0.0001', '0.0000']
163 ['0.0001', '0.0000', '0.0001', '0.0000']
164 ['0.0000', '0.0008', '0.9981', '0.0023']
165 ['0.0001', '0.0000', '0.0003', '0.0000']
166 ['0.9980', '0.9984', '0.0004', '0.0032']
167 ['0.0004', '0.0001', '0.0001', '0.0001']
168 ['0.0000', '0.0014', '0.9981', '0.0030']
169 ['0.0001', '0.0000', '0.0002', '0.0000']
170 ['0.0002', '0.0001', '0.0001', '0.0000']
171 ['0.9973', '0.0022', '0.0011', '0.9973']
172 ['0.0002', '0.0001', '0.0003', '0.0002']
173 ['0.0002', '0.0000', '0.0000', '0.0000']
174 ['0.0001', '0.0000', '0.0002', '0.0000']
175 ['0.0000', '0.0012', '0.9983', '0.0026']
176 ['0.0002', '0.0000', '0.0002', '0.0000']
177 ['0.9980', '0.9984', '0.0004', '0.0032']
178 ['0.0004', '0.0001', '0.0001', '0.0000']
179 ['0.0002', '0.0001', '0.0001', '0.0000']
